H,20120524,1130,PT,ASM
O,52028816,,,
I,4260004B9000,4260004B9000,259,EA
O,52028816,,,
I,4260004C0000,4260004C0000,191,EA
O,52028816,,,
I,4260004C1000,4260004C1000,182,EA
O,52028816,,,
I,4260004C2000,4260004C2000,190,EA
O,52028816,,,
I,4260004C6000,4260004C6000,54,EA
O,52028817,,,
I,4260004C4000,4260004C4000,87,EA
O,52028817,,,
I,4260004C5000,4260004C5000,106,EA
O,52028817,,,
I,42600AD09300,42600AD09300,159,EA
O,52028817,,,
I,42600AD13300,42600AD13300,384,EA
O,52028817,,,
I,42600AD15300,42600AD15300,368,EA
O,52028817,,,
I,42600AD17300,42600AD17300,292,EA
O,52028821,,,
I,4260004B9000,4260004B9000,346,EA
O,52028821,,,
I,4260004C0000,4260004C0000,216,EA
O,52028821,,,
I,4260004C1000,4260004C1000,241,EA
O,52028821,,,
I,4260004C2000,4260004C2000,227,EA
O,52028821,,,
I,4260004C6000,4260004C6000,106,EA
O,52028822,,,
I,4260004C4000,4260004C4000,122,EA
O,52028822,,,
I,4260004C5000,4260004C5000,210,EA
O,52028822,,,
I,42600AD09300,42600AD09300,359,EA
O,52028822,,,
I,42600AD11400,42600AD11400,338,EA
O,52028822,,,
I,42600AD13300,42600AD13300,432,EA
O,52028822,,,
I,42600AD15300,42600AD15300,480,EA
O,52028822,,,
I,42600AD17300,42600AD17300,332,EA
O,52028826,,,
I,4260004B9000,4260004B9000,340,EA
O,52028826,,,
I,4260004C0000,4260004C0000,221,EA
O,52028826,,,
I,4260004C1000,4260004C1000,223,EA
O,52028826,,,
I,4260004C2000,4260004C2000,240,EA
O,52028826,,,
I,4260004C6000,4260004C6000,92,EA
O,52028827,,,
I,4260004C4000,4260004C4000,144,EA
O,52028827,,,
I,4260004C5000,4260004C5000,188,EA
O,52028827,,,
I,42600AD09300,42600AD09300,298,EA
O,52028827,,,
I,42600AD11400,42600AD11400,378,EA
O,52028827,,,
I,42600AD13300,42600AD13300,440,EA
O,52028827,,,
I,42600AD17300,42600AD17300,340,EA
