H,20131024,1130,PT,ASM
O,52034800,,,
I,4260004B9000,4260004B9000,506,EA
O,52034800,,,
I,4260004C0000,4260004C0000,180,EA
O,52034800,,,
I,4260004C1000,4260004C1000,289,EA
O,52034800,,,
I,4260004C2000,4260004C2000,355,EA
O,52034800,,,
I,4260004C4000,4260004C4000,388,EA
O,52034800,,,
I,4260004C5000,4260004C5000,60,EA
O,52034800,,,
I,4260004C6000,4260004C6000,30,EA
O,52034800,,,
I,42600AD09300,42600AD09300,596,EA
O,52034800,,,
I,42600AD11400,42600AD11400,416,EA
O,52034800,,,
I,426700406000,426700406000,596,EA
O,52034800,,,
I,426700414000,426700414000,388,EA
O,52034800,,,
I,426700415000,426700415000,60,EA
O,52034801,,,
I,42600AD13300,42600AD13300,362,EA
O,52034801,,,
I,42600AD15300,42600AD15300,580,EA
O,52034801,,,
I,42600AD17300,42600AD17300,320,EA
O,52034801,,,
I,426700407000,426700407000,416,EA
O,52034801,,,
I,426700408000,426700408000,363,EA
O,52034801,,,
I,426700409000,426700409000,580,EA
O,52034801,,,
I,426700410000,426700410000,320,EA
