H,20111221,1130,PT,ASM
O,52027520,,,
I,4260004B9000,4260004B9000,55,EA
O,52027520,,,
I,4260004C0000,4260004C0000,37,EA
O,52027520,,,
I,4260004C1000,4260004C1000,54,EA
O,52027520,,,
I,4260004C2000,4260004C2000,55,EA
O,52027520,,,
I,4260004C6000,4260004C6000,19,EA
O,52027520,,,
I,42600AD09300,42600AD09300,40,EA
O,52027520,,,
I,42600AD11400,42600AD11400,70,EA
O,52027520,,,
I,42600AD13300,42600AD13300,70,EA
O,52027520,,,
I,42600AD15300,42600AD15300,106,EA
O,52027520,,,
I,426700406000,426700406000,40,EA
O,52027520,,,
I,426700407000,426700407000,70,EA
O,52027520,,,
I,426700408000,426700408000,70,EA
O,52027521,,,
I,4260004C4000,4260004C4000,114,EA
O,52027521,,,
I,4260004C5000,4260004C5000,40,EA
O,52027521,,,
I,426700409000,426700409000,106,EA
O,52027521,,,
I,426700414000,426700414000,114,EA
O,52027521,,,
I,426700415000,426700415000,40,EA
