H,20130923,1130,PT,ASM
O,52034306,,,
I,4260004B9000,4260004B9000,370,EA
O,52034306,,,
I,4260004C0000,4260004C0000,187,EA
O,52034306,,,
I,4260004C1000,4260004C1000,219,EA
O,52034306,,,
I,4260004C2000,4260004C2000,204,EA
O,52034306,,,
I,4260004C4000,4260004C4000,222,EA
O,52034306,,,
I,4260004C5000,4260004C5000,76,EA
O,52034306,,,
I,4260004C6000,4260004C6000,38,EA
O,52034306,,,
I,42600AD09300,42600AD09300,660,EA
O,52034306,,,
I,42600AD11400,42600AD11400,78,EA
O,52034306,,,
I,426700406000,426700406000,660,EA
O,52034306,,,
I,426700414000,426700414000,223,EA
O,52034306,,,
I,426700415000,426700415000,76,EA
O,52034307,,,
I,42600AD13300,42600AD13300,374,EA
O,52034307,,,
I,42600AD15300,42600AD15300,440,EA
O,52034307,,,
I,42600AD17300,42600AD17300,186,EA
O,52034307,,,
I,426700407000,426700407000,78,EA
O,52034307,,,
I,426700408000,426700408000,374,EA
O,52034307,,,
I,426700409000,426700409000,440,EA
O,52034307,,,
I,426700410000,426700410000,186,EA
