H,20140430,1130,PT,ASM
O,52036839,,,
I,4260004B9000,4260004B9000,132,EA
O,52036839,,,
I,4260004C0000,4260004C0000,93,EA
O,52036839,,,
I,4260004C1000,4260004C1000,140,EA
O,52036839,,,
I,4260004C2000,4260004C2000,120,EA
O,52036839,,,
I,4260004C4000,4260004C4000,110,EA
O,52036839,,,
I,4260004C5000,4260004C5000,90,EA
O,52036839,,,
I,4260004C6000,4260004C6000,44,EA
O,52036839,,,
I,42600AD09300,42600AD09300,106,EA
O,52036839,,,
I,42600AD11400,42600AD11400,156,EA
O,52036839,,,
I,42600AD13300,42600AD13300,182,EA
O,52036839,,,
I,42600AD15300,42600AD15300,286,EA
O,52036839,,,
I,42600AD17300,42600AD17300,128,EA
O,52036840,,,
I,426700406000,426700406000,106,EA
O,52036840,,,
I,426700407000,426700407000,157,EA
O,52036840,,,
I,426700408000,426700408000,182,EA
O,52036840,,,
I,426700409000,426700409000,286,EA
O,52036840,,,
I,426700410000,426700410000,129,EA
O,52036840,,,
I,426700414000,426700414000,110,EA
O,52036840,,,
I,426700415000,426700415000,90,EA
O,52036844,,,
I,4260004B9000,4260004B9000,261,EA
O,52036844,,,
I,4260004C0000,4260004C0000,223,EA
O,52036844,,,
I,4260004C1000,4260004C1000,317,EA
O,52036844,,,
I,4260004C2000,4260004C2000,323,EA
O,52036844,,,
I,4260004C4000,4260004C4000,380,EA
O,52036844,,,
I,4260004C5000,4260004C5000,70,EA
O,52036844,,,
I,4260004C6000,4260004C6000,36,EA
O,52036844,,,
I,42600AD09300,42600AD09300,262,EA
O,52036844,,,
I,42600AD11400,42600AD11400,262,EA
O,52036844,,,
I,42600AD13300,42600AD13300,448,EA
O,52036844,,,
I,42600AD15300,42600AD15300,630,EA
O,52036844,,,
I,42600AD17300,42600AD17300,268,EA
O,52036845,,,
I,426700406000,426700406000,262,EA
O,52036845,,,
I,426700407000,426700407000,262,EA
O,52036845,,,
I,426700408000,426700408000,448,EA
O,52036845,,,
I,426700409000,426700409000,630,EA
O,52036845,,,
I,426700410000,426700410000,268,EA
O,52036845,,,
I,426700414000,426700414000,380,EA
O,52036845,,,
I,426700415000,426700415000,70,EA
