H,20131007,1130,PT,ASM
O,52034514,,,
I,4260004B9000,4260004B9000,357,EA
O,52034514,,,
I,4260004C0000,4260004C0000,178,EA
O,52034514,,,
I,4260004C1000,4260004C1000,185,EA
O,52034514,,,
I,4260004C2000,4260004C2000,232,EA
O,52034514,,,
I,4260004C4000,4260004C4000,276,EA
O,52034514,,,
I,4260004C5000,4260004C5000,70,EA
O,52034514,,,
I,4260004C6000,4260004C6000,36,EA
O,52034514,,,
I,42600AD09300,42600AD09300,424,EA
O,52034514,,,
I,42600AD11400,42600AD11400,287,EA
O,52034514,,,
I,426700406000,426700406000,424,EA
O,52034514,,,
I,426700414000,426700414000,276,EA
O,52034514,,,
I,426700415000,426700415000,70,EA
O,52034515,,,
I,42600AD13300,42600AD13300,358,EA
O,52034515,,,
I,42600AD15300,42600AD15300,372,EA
O,52034515,,,
I,42600AD17300,42600AD17300,190,EA
O,52034515,,,
I,426700407000,426700407000,286,EA
O,52034515,,,
I,426700408000,426700408000,358,EA
O,52034515,,,
I,426700409000,426700409000,372,EA
O,52034515,,,
I,426700410000,426700410000,190,EA
