H,20131014,1130,PT,ASM
O,52034638,,,
I,4260004B9000,4260004B9000,502,EA
O,52034638,,,
I,4260004C0000,4260004C0000,203,EA
O,52034638,,,
I,4260004C1000,4260004C1000,284,EA
O,52034638,,,
I,4260004C2000,4260004C2000,324,EA
O,52034638,,,
I,4260004C4000,4260004C4000,300,EA
O,52034638,,,
I,4260004C5000,4260004C5000,80,EA
O,52034638,,,
I,4260004C6000,4260004C6000,39,EA
O,52034638,,,
I,42600AD09300,42600AD09300,602,EA
O,52034638,,,
I,42600AD11400,42600AD11400,404,EA
O,52034638,,,
I,426700406000,426700406000,602,EA
O,52034638,,,
I,426700414000,426700414000,300,EA
O,52034638,,,
I,426700415000,426700415000,80,EA
O,52034639,,,
I,42600AD13300,42600AD13300,404,EA
O,52034639,,,
I,42600AD15300,42600AD15300,564,EA
O,52034639,,,
I,42600AD17300,42600AD17300,350,EA
O,52034639,,,
I,426700407000,426700407000,404,EA
O,52034639,,,
I,426700408000,426700408000,404,EA
O,52034639,,,
I,426700409000,426700409000,564,EA
O,52034639,,,
I,426700410000,426700410000,350,EA
O,52034801,,,
I,42600AD13300,42600AD13300,362,EA
