H,20140612,1130,PT,ASM
O,52037467,,,
I,4260004B9000,4260004B9000,536,EA
O,52037467,,,
I,4260004C0000,4260004C0000,328,EA
O,52037467,,,
I,4260004C1000,4260004C1000,311,EA
O,52037467,,,
I,4260004C2000,4260004C2000,293,EA
O,52037467,,,
I,4260004C4000,4260004C4000,216,EA
O,52037467,,,
I,4260004C5000,4260004C5000,50,EA
O,52037467,,,
I,4260004C6000,4260004C6000,24,EA
O,52037467,,,
I,42600AD09300,42600AD09300,610,EA
O,52037467,,,
I,42600AD11400,42600AD11400,450,EA
O,52037467,,,
I,42600AD13300,42600AD13300,658,EA
O,52037467,,,
I,42600AD15300,42600AD15300,622,EA
O,52037467,,,
I,42600AD17300,42600AD17300,370,EA
O,52037468,,,
I,426700406000,426700406000,610,EA
O,52037468,,,
I,426700408000,426700408000,658,EA
O,52037468,,,
I,426700409000,426700409000,622,EA
O,52037468,,,
I,426700410000,426700410000,370,EA
O,52037468,,,
I,426700414000,426700414000,216,EA
O,52037468,,,
I,426700415000,426700415000,50,EA
