H,20120808,1130,PT,ASM
O,52029400,,,
I,4260004B9000,4260004B9000,194,EA
O,52029400,,,
I,4260004C0000,4260004C0000,112,EA
O,52029400,,,
I,4260004C1000,4260004C1000,158,EA
O,52029400,,,
I,4260004C2000,4260004C2000,165,EA
O,52029400,,,
I,4260004C4000,4260004C4000,110,EA
O,52029400,,,
I,4260004C5000,4260004C5000,64,EA
O,52029400,,,
I,4260004C6000,4260004C6000,31,EA
O,52029400,,,
I,42600AD09300,42600AD09300,186,EA
O,52029400,,,
I,42600AD11400,42600AD11400,200,EA
O,52029400,,,
I,426700406000,426700406000,186,EA
O,52029400,,,
I,426700415000,426700415000,64,EA
O,52029401,,,
I,42600AD13300,42600AD13300,226,EA
O,52029401,,,
I,42600AD15300,42600AD15300,318,EA
O,52029401,,,
I,42600AD17300,42600AD17300,216,EA
O,52029401,,,
I,426700407000,426700407000,200,EA
O,52029401,,,
I,426700408000,426700408000,226,EA
O,52029401,,,
I,426700409000,426700409000,318,EA
O,52029401,,,
I,426700410000,426700410000,216,EA
O,52029401,,,
I,426700414000,426700414000,110,EA
