H,20120925,1130,PT,ASM
O,52030056,,,
I,4260004B9000,4260004B9000,360,EA
O,52030056,,,
I,4260004C0000,4260004C0000,253,EA
O,52030056,,,
I,4260004C1000,4260004C1000,289,EA
O,52030056,,,
I,4260004C2000,4260004C2000,238,EA
O,52030056,,,
I,4260004C4000,4260004C4000,302,EA
O,52030056,,,
I,42600AD09300,42600AD09300,270,EA
O,52030056,,,
I,42600AD11400,42600AD11400,450,EA
O,52030056,,,
I,42600AD13300,42600AD13300,508,EA
O,52030056,,,
I,426700406000,426700406000,270,EA
O,52030056,,,
I,426700407000,426700407000,450,EA
O,52030056,,,
I,426700408000,426700408000,509,EA
O,52030056,,,
I,426700414000,426700414000,302,EA
O,52030057,,,
I,42600AD15300,42600AD15300,578,EA
O,52030057,,,
I,42600AD17300,42600AD17300,172,EA
O,52030057,,,
I,426700409000,426700409000,579,EA
O,52030057,,,
I,426700410000,426700410000,172,EA
