H,20130628,1130,PT,ASM
O,52033325,,,
I,4260004B9000,4260004B9000,480,EA
O,52033325,,,
I,4260004C0000,4260004C0000,291,EA
O,52033325,,,
I,4260004C1000,4260004C1000,281,EA
O,52033325,,,
I,4260004C2000,4260004C2000,258,EA
O,52033325,,,
I,4260004C4000,4260004C4000,64,EA
O,52033325,,,
I,4260004C5000,4260004C5000,106,EA
O,52033325,,,
I,4260004C6000,4260004C6000,54,EA
O,52033325,,,
I,42600AD09300,42600AD09300,402,EA
O,52033325,,,
I,42600AD11400,42600AD11400,557,EA
O,52033325,,,
I,42600AD13300,42600AD13300,569,EA
O,52033325,,,
I,42600AD15300,42600AD15300,564,EA
O,52033325,,,
I,42600AD17300,42600AD17300,450,EA
O,52033326,,,
I,426700406000,426700406000,402,EA
O,52033326,,,
I,426700407000,426700407000,556,EA
O,52033326,,,
I,426700408000,426700408000,570,EA
O,52033326,,,
I,426700409000,426700409000,564,EA
O,52033326,,,
I,426700410000,426700410000,450,EA
O,52033326,,,
I,426700414000,426700414000,64,EA
O,52033326,,,
I,426700415000,426700415000,106,EA
