H,20121210,1130,PT,ASM
O,52030880,,,
I,4260004B9000,4260004B9000,272,EA
O,52030880,,,
I,4260004C0000,4260004C0000,188,EA
O,52030880,,,
I,4260004C1000,4260004C1000,283,EA
O,52030880,,,
I,4260004C2000,4260004C2000,331,EA
O,52030880,,,
I,4260004C4000,4260004C4000,390,EA
O,52030880,,,
I,4260004C5000,4260004C5000,174,EA
O,52030880,,,
I,4260004C6000,4260004C6000,86,EA
O,52030880,,,
I,42600AD09300,42600AD09300,278,EA
O,52030880,,,
I,42600AD11400,42600AD11400,268,EA
O,52030880,,,
I,426700406000,426700406000,278,EA
O,52030880,,,
I,426700414000,426700414000,390,EA
O,52030880,,,
I,426700415000,426700415000,175,EA
O,52030881,,,
I,42600AD13300,42600AD13300,376,EA
O,52030881,,,
I,42600AD15300,42600AD15300,564,EA
O,52030881,,,
I,42600AD17300,42600AD17300,270,EA
O,52030881,,,
I,426700407000,426700407000,268,EA
O,52030881,,,
I,426700408000,426700408000,376,EA
O,52030881,,,
I,426700409000,426700409000,564,EA
O,52030881,,,
I,426700410000,426700410000,270,EA
