H,20130225,1130,PT,ASM
O,52031517,,,
I,4260004B9000,4260004B9000,351,EA
O,52031517,,,
I,4260004C0000,4260004C0000,200,EA
O,52031517,,,
I,4260004C1000,4260004C1000,250,EA
O,52031517,,,
I,4260004C2000,4260004C2000,256,EA
O,52031517,,,
I,4260004C4000,4260004C4000,196,EA
O,52031517,,,
I,4260004C5000,4260004C5000,102,EA
O,52031517,,,
I,4260004C6000,4260004C6000,51,EA
O,52031517,,,
I,42600AD09300,42600AD09300,358,EA
O,52031517,,,
I,42600AD11400,42600AD11400,342,EA
O,52031517,,,
I,426700406000,426700406000,358,EA
O,52031517,,,
I,426700414000,426700414000,197,EA
O,52031517,,,
I,426700415000,426700415000,102,EA
O,52031518,,,
I,42600AD13300,42600AD13300,396,EA
O,52031518,,,
I,42600AD15300,42600AD15300,500,EA
O,52031518,,,
I,42600AD17300,42600AD17300,314,EA
O,52031518,,,
I,426700407000,426700407000,342,EA
O,52031518,,,
I,426700408000,426700408000,397,EA
O,52031518,,,
I,426700409000,426700409000,500,EA
O,52031518,,,
I,426700410000,426700410000,314,EA
