H,20131107,1130,PT,ASM
O,52034949,,,
I,4260004B9000,4260004B9000,88,EA
O,52034949,,,
I,4260004C0000,4260004C0000,31,EA
O,52034949,,,
I,4260004C1000,4260004C1000,39,EA
O,52034949,,,
I,4260004C2000,4260004C2000,82,EA
O,52034949,,,
I,4260004C4000,4260004C4000,90,EA
O,52034949,,,
I,4260004C5000,4260004C5000,6,EA
O,52034949,,,
I,4260004C6000,4260004C6000,4,EA
O,52034949,,,
I,42600AD09300,42600AD09300,110,EA
O,52034949,,,
I,42600AD11400,42600AD11400,66,EA
O,52034949,,,
I,426700406000,426700406000,110,EA
O,52034949,,,
I,426700414000,426700414000,90,EA
O,52034949,,,
I,426700415000,426700415000,6,EA
O,52034950,,,
I,42600AD13300,42600AD13300,62,EA
O,52034950,,,
I,42600AD15300,42600AD15300,76,EA
O,52034950,,,
I,42600AD17300,42600AD17300,78,EA
O,52034950,,,
I,426700407000,426700407000,66,EA
O,52034950,,,
I,426700408000,426700408000,62,EA
O,52034950,,,
I,426700409000,426700409000,76,EA
O,52034950,,,
I,426700410000,426700410000,78,EA
