H,20121122,1130,PT,ASM
O,52030743,,,
I,4260004B9000,4260004B9000,286,EA
O,52030743,,,
I,4260004C0000,4260004C0000,213,EA
O,52030743,,,
I,4260004C1000,4260004C1000,253,EA
O,52030743,,,
I,4260004C2000,4260004C2000,251,EA
O,52030743,,,
I,4260004C4000,4260004C4000,188,EA
O,52030743,,,
I,4260004C5000,4260004C5000,196,EA
O,52030743,,,
I,4260004C6000,4260004C6000,97,EA
O,52030743,,,
I,42600AD09300,42600AD09300,238,EA
O,52030743,,,
I,42600AD11400,42600AD11400,334,EA
O,52030743,,,
I,426700406000,426700406000,238,EA
O,52030743,,,
I,426700414000,426700414000,188,EA
O,52030743,,,
I,426700415000,426700415000,196,EA
O,52030744,,,
I,42600AD13300,42600AD13300,430,EA
O,52030744,,,
I,42600AD15300,42600AD15300,502,EA
O,52030744,,,
I,42600AD17300,42600AD17300,312,EA
O,52030744,,,
I,426700407000,426700407000,334,EA
O,52030744,,,
I,426700408000,426700408000,430,EA
O,52030744,,,
I,426700409000,426700409000,502,EA
O,52030744,,,
I,426700410000,426700410000,313,EA
