H,20110730,1130,PT,ASM
O,52025461,,,
I,4260004B9000,4260004B9000,405,EA
O,52025461,,,
I,4260004C0000,4260004C0000,310,EA
O,52025461,,,
I,4260004C1000,4260004C1000,284,EA
O,52025461,,,
I,4260004C2000,4260004C2000,281,EA
O,52025461,,,
I,42600AD09300,42600AD09300,394,EA
O,52025461,,,
I,42600AD11400,42600AD11400,421,EA
O,52025461,,,
I,42600AD13300,42600AD13300,620,EA
O,52025461,,,
I,42600AD15300,42600AD15300,566,EA
O,52025461,,,
I,42600AD17300,42600AD17300,478,EA
O,52025461,,,
I,426700406000,426700406000,394,EA
O,52025461,,,
I,426700407000,426700407000,421,EA
O,52025461,,,
I,426700408000,426700408000,620,EA
O,52025462,,,
I,4260004C4000,4260004C4000,82,EA
O,52025462,,,
I,426700409000,426700409000,566,EA
O,52025462,,,
I,426700410000,426700410000,478,EA
O,52025462,,,
I,426700414000,426700414000,82,EA
