H,20110418,1130,PT,ASM
O,52024280,,,
I,4260004B9000,4260004B9000,270,EA
O,52024280,,,
I,4260004C0000,4260004C0000,180,EA
O,52024280,,,
I,4260004C1000,4260004C1000,189,EA
O,52024280,,,
I,4260004C2000,4260004C2000,177,EA
O,52024280,,,
I,42600AD09300,42600AD09300,238,EA
O,52024280,,,
I,42600AD11400,42600AD11400,300,EA
O,52024280,,,
I,42600AD13300,42600AD13300,360,EA
O,52024280,,,
I,42600AD15300,42600AD15300,376,EA
O,52024280,,,
I,42600AD17300,42600AD17300,266,EA
O,52024280,,,
I,426700406000,426700406000,238,EA
O,52024280,,,
I,426700407000,426700407000,300,EA
O,52024280,,,
I,426700408000,426700408000,360,EA
O,52024281,,,
I,4260004C4000,4260004C4000,92,EA
O,52024281,,,
I,426700409000,426700409000,376,EA
O,52024281,,,
I,426700410000,426700410000,266,EA
O,52024281,,,
I,426700414000,426700414000,92,EA
