H,20131219,1130,PT,ASM
O,52035440,,,
I,4260004B9000,4260004B9000,362,EA
O,52035440,,,
I,4260004C0000,4260004C0000,237,EA
O,52035440,,,
I,4260004C1000,4260004C1000,243,EA
O,52035440,,,
I,4260004C2000,4260004C2000,275,EA
O,52035440,,,
I,4260004C4000,4260004C4000,236,EA
O,52035440,,,
I,4260004C5000,4260004C5000,62,EA
O,52035440,,,
I,4260004C6000,4260004C6000,31,EA
O,52035440,,,
I,42600AD09300,42600AD09300,406,EA
O,52035440,,,
I,42600AD11400,42600AD11400,320,EA
O,52035440,,,
I,42600AD13300,42600AD13300,470,EA
O,52035440,,,
I,42600AD15300,42600AD15300,490,EA
O,52035440,,,
I,42600AD17300,42600AD17300,312,EA
O,52035441,,,
I,42600AD17300,42600AD17300,312,EA
O,52035441,,,
I,426700406000,426700406000,407,EA
O,52035441,,,
I,426700407000,426700407000,321,EA
O,52035441,,,
I,426700408000,426700408000,470,EA
O,52035441,,,
I,426700409000,426700409000,490,EA
O,52035441,,,
I,426700414000,426700414000,238,EA
O,52035441,,,
I,426700415000,426700415000,62,EA
