H,20140225,1130,PT,ASM
O,52036051,,,
I,4260004B9000,4260004B9000,426,EA
O,52036051,,,
I,4260004C0000,4260004C0000,302,EA
O,52036051,,,
I,4260004C1000,4260004C1000,311,EA
O,52036051,,,
I,4260004C2000,4260004C2000,319,EA
O,52036051,,,
I,4260004C4000,4260004C4000,188,EA
O,52036051,,,
I,4260004C5000,4260004C5000,88,EA
O,52036051,,,
I,4260004C6000,4260004C6000,42,EA
O,52036051,,,
I,42600AD09300,42600AD09300,522,EA
O,52036051,,,
I,42600AD11400,42600AD11400,326,EA
O,52036051,,,
I,426700406000,426700406000,522,EA
O,52036051,,,
I,426700414000,426700414000,188,EA
O,52036051,,,
I,426700415000,426700415000,88,EA
O,52036052,,,
I,42600AD13300,42600AD13300,603,EA
O,52036052,,,
I,42600AD15300,42600AD15300,625,EA
O,52036052,,,
I,42600AD17300,42600AD17300,451,EA
O,52036052,,,
I,426700407000,426700407000,326,EA
O,52036052,,,
I,426700408000,426700408000,602,EA
O,52036052,,,
I,426700409000,426700409000,625,EA
O,52036052,,,
I,426700410000,426700410000,450,EA
