H,20131125,1130,PT,ASM
O,52035126,,,
I,4260004B9000,4260004B9000,422,EA
O,52035126,,,
I,4260004C0000,4260004C0000,232,EA
O,52035126,,,
I,4260004C1000,4260004C1000,313,EA
O,52035126,,,
I,4260004C2000,4260004C2000,314,EA
O,52035126,,,
I,4260004C4000,4260004C4000,192,EA
O,52035126,,,
I,4260004C5000,4260004C5000,94,EA
O,52035126,,,
I,4260004C6000,4260004C6000,47,EA
O,52035126,,,
I,42600AD09300,42600AD09300,366,EA
O,52035126,,,
I,42600AD11400,42600AD11400,474,EA
O,52035126,,,
I,426700406000,426700406000,366,EA
O,52035126,,,
I,426700414000,426700414000,192,EA
O,52035126,,,
I,426700415000,426700415000,94,EA
O,52035127,,,
I,42600AD13300,42600AD13300,466,EA
O,52035127,,,
I,42600AD15300,42600AD15300,624,EA
O,52035127,,,
I,42600AD17300,42600AD17300,440,EA
O,52035127,,,
I,426700407000,426700407000,475,EA
O,52035127,,,
I,426700408000,426700408000,466,EA
O,52035127,,,
I,426700409000,426700409000,624,EA
O,52035127,,,
I,426700410000,426700410000,440,EA
