H,20130228,1130,PT,ASM
O,52031589,,,
I,4260004B9000,4260004B9000,331,EA
O,52031589,,,
I,4260004C0000,4260004C0000,157,EA
O,52031589,,,
I,4260004C1000,4260004C1000,217,EA
O,52031589,,,
I,4260004C2000,4260004C2000,186,EA
O,52031589,,,
I,4260004C4000,4260004C4000,156,EA
O,52031589,,,
I,4260004C5000,4260004C5000,76,EA
O,52031589,,,
I,4260004C6000,4260004C6000,37,EA
O,52031589,,,
I,42600AD09300,42600AD09300,344,EA
O,52031589,,,
I,42600AD11400,42600AD11400,322,EA
O,52031589,,,
I,426700406000,426700406000,344,EA
O,52031589,,,
I,426700414000,426700414000,156,EA
O,52031589,,,
I,426700415000,426700415000,76,EA
O,52031590,,,
I,42600AD13300,42600AD13300,288,EA
O,52031590,,,
I,42600AD15300,42600AD15300,436,EA
O,52031590,,,
I,42600AD17300,42600AD17300,210,EA
O,52031590,,,
I,426700407000,426700407000,322,EA
O,52031590,,,
I,426700408000,426700408000,288,EA
O,52031590,,,
I,426700409000,426700409000,436,EA
O,52031590,,,
I,426700410000,426700410000,211,EA
